time,V
0.51,5.71E-01
1.02,5.71E-01
1.53,5.71E-01
2.04,5.71E-01
2.55,5.71E-01
3.06,5.71E-01
3.57,5.70E-01
4.08,5.70E-01
4.59,5.70E-01
5.1,5.70E-01
5.61,5.69E-01
6.12,5.69E-01
6.63,5.69E-01
7.14,5.69E-01
7.65,5.68E-01
8.16,5.68E-01
8.67,5.68E-01
9.18,5.68E-01
9.69,5.67E-01
10.2,5.67E-01
10.71,5.67E-01
11.22,5.67E-01
11.73,5.66E-01
12.24,5.66E-01
12.75,5.66E-01
13.26,5.66E-01
13.77,5.65E-01
14.28,5.65E-01
14.79,5.65E-01
15.3,5.65E-01
15.81,5.65E-01
16.32,5.64E-01
16.83,5.64E-01
17.34,5.64E-01
17.85,5.64E-01
18.36,5.63E-01
18.87,5.63E-01
19.38,5.63E-01
19.89,5.63E-01
20.4,5.62E-01
20.91,5.62E-01
21.42,5.62E-01
21.93,5.62E-01
22.44,5.61E-01
22.95,5.61E-01
23.46,5.61E-01
23.97,5.61E-01
24.48,5.60E-01
24.99,5.60E-01
25.5,5.60E-01
26.01,5.60E-01
26.52,5.60E-01
27.03,5.59E-01
27.54,5.59E-01
28.05,5.59E-01
28.56,5.59E-01
29.07,5.58E-01
29.58,5.58E-01
30.09,5.58E-01
30.6,5.58E-01
31.11,5.57E-01
31.62,5.57E-01
32.13,5.57E-01
32.64,5.57E-01
33.15,5.57E-01
33.66,5.56E-01
34.17,5.56E-01
34.68,5.56E-01
35.19,5.56E-01
35.7,5.55E-01
36.21,5.55E-01
36.72,5.55E-01
37.23,5.55E-01
37.74,5.55E-01
38.25,5.54E-01
38.76,5.54E-01
39.27,5.54E-01
39.78,5.54E-01
40.29,5.54E-01
40.8,5.53E-01
41.31,5.53E-01
41.82,5.53E-01
42.33,5.53E-01
42.84,5.52E-01
43.35,5.52E-01
43.86,5.52E-01
44.37,5.52E-01
44.88,5.52E-01
45.39,5.51E-01
45.9,5.51E-01
46.41,5.51E-01
46.92,5.51E-01
47.43,5.50E-01
47.94,5.50E-01
48.45,5.50E-01
48.96,5.50E-01
49.47,5.50E-01
49.98,5.49E-01
50.49,5.49E-01
51,5.49E-01
51.51,5.49E-01
52.02,5.49E-01
52.53,5.48E-01
53.04,5.48E-01
53.55,5.48E-01
54.06,5.48E-01
54.57,5.47E-01
55.08,5.47E-01
55.59,5.47E-01
56.1,5.47E-01
56.61,5.47E-01
57.12,5.46E-01
57.63,5.46E-01
58.14,5.46E-01
58.65,5.46E-01
59.16,5.46E-01
59.67,5.45E-01
60.18,5.45E-01
60.69,5.45E-01
61.2,5.45E-01
61.71,5.45E-01
62.22,5.44E-01
62.73,5.44E-01
63.24,5.44E-01
63.75,5.44E-01
64.26,5.44E-01
64.77,5.43E-01
65.28,5.43E-01
65.79,5.43E-01
66.3,5.43E-01
66.81,5.43E-01
67.32,5.42E-01
67.83,5.42E-01
68.34,5.42E-01
68.85,5.42E-01
69.36,5.42E-01
69.87,5.41E-01
70.38,5.41E-01
70.89,5.41E-01
71.4,5.41E-01
71.91,5.41E-01
72.42,5.40E-01
72.93,5.40E-01
73.44,5.40E-01
73.95,5.40E-01
74.46,5.40E-01
74.97,5.39E-01
75.48,5.39E-01
75.99,5.39E-01
76.5,5.39E-01
77.01,5.39E-01
77.52,5.38E-01
78.03,5.38E-01
78.54,5.38E-01
79.05,5.38E-01
79.56,5.38E-01
80.07,5.37E-01
80.58,5.37E-01
81.09,5.37E-01
81.6,5.37E-01
82.11,5.37E-01
82.62,5.36E-01
83.13,5.36E-01
83.64,5.36E-01
84.15,5.36E-01
84.66,5.36E-01
85.17,5.36E-01
85.68,5.35E-01
86.19,5.35E-01
86.7,5.35E-01
87.21,5.35E-01
87.72,5.35E-01
88.23,5.34E-01
88.74,5.34E-01
89.25,5.34E-01
89.76,5.34E-01
90.27,5.34E-01
90.78,5.33E-01
91.29,5.33E-01
91.8,5.33E-01
92.31,5.33E-01
92.82,5.33E-01
93.33,5.33E-01
93.84,5.32E-01
94.35,5.32E-01
94.86,5.32E-01
95.37,5.32E-01
95.88,5.32E-01
96.39,5.31E-01
96.9,5.31E-01
97.41,5.31E-01
97.92,5.31E-01
98.43,5.31E-01
98.94,5.31E-01
99.45,5.30E-01
99.96,5.30E-01
100.47,5.30E-01
100.98,5.30E-01
101.49,5.30E-01
102,5.29E-01
102.51,5.29E-01
103.02,5.29E-01
103.53,5.29E-01
104.04,5.29E-01
104.55,5.29E-01
105.06,5.28E-01
105.57,5.28E-01
106.08,5.28E-01
106.59,5.28E-01
107.1,5.28E-01
107.61,5.28E-01
108.12,5.27E-01
108.63,5.27E-01
109.14,5.27E-01
109.65,5.27E-01
110.16,5.27E-01
110.67,5.26E-01
111.18,5.26E-01
111.69,5.26E-01
112.2,5.26E-01
112.71,5.26E-01
113.22,5.26E-01
113.73,5.25E-01
114.24,5.25E-01
114.75,5.25E-01
115.26,5.25E-01
